effective_date,under_1938_act,under_1961_amendments,under_subsequent_farm,under_subsequent_nonfarm,all_covered
10/24/38,0.25,,,,
10/24/39,0.3,,,,
10/24/45,0.4,,,,
1/25/50,0.75,,,,
3/1/56,1,,,,
9/3/61,1.15,1,,,
9/3/63,1.25,,,,
9/3/64,,1.15,,,
9/3/65,,1.25,,,
2/1/67,1.4,1.4,1,1,
2/1/68,1.6,1.6,1.15,1.15,
2/1/69,,,1.3,1.3,
2/1/70,,,1.45,,
2/1/71,,,1.6,,
5/1/74,2,2,1.9,1.6,
1/1/75,2.1,2.1,2,1.8,
1/1/76,2.3,2.3,2.2,2,
1/1/77,,,2.3,2.2,
1/1/78,,,,,2.65
1/1/79,,,,,2.9
1/1/80,,,,,3.1
1/1/81,,,,,3.35
4/1/90,,,,,3.8
4/1/91,,,,,4.25
10/1/96,,,,,4.75
9/1/97,,,,,5.15
7/24/07,,,,,5.85
7/24/08,,,,,6.55
7/24/09,,,,,7.25
